artist,title,spotify_uri,original_lang,length,translation_review_required,lyrics_in_en,qa_pred_lang,qa_pred_confidence
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,en,987,True,"1. Post Malone- Circles
2. Post Malone- Wow
3. Saweetie- Tap In (feat. Post Malone, DaBaby & Jack Harlow)
4. Post Malone- Goodbyes (feat. Young Thug)
5. Tyla Yaweh- Tommy Lee (feat. SAINt JHN & Post Malone) 
6. Post Malone & Swae Lee- Sunflower (Spider-Man: Into the Spider-Verse)
7. Post Malone- rockstar (feat. 21 Savage)
8. Post Malone- Take What You Want (feat. Ozzy Osbourne & Travis Scott)
9. Post Malone- Better Now
10. Post Malone- Enemies (feat. DaBaby)
11. Post Malone- Congratulations (feat. Quavo)
12. Post Malone- Psycho (feat. Ty Dolla $ign)
13. Post Malone- White Iverson
14. Post Malonе- Saint-Tropez
15. Post Malone- I Fall Apart
16. 21 Savage- all my friеnds
17. Post Malone- Ball For Me (feat. Nicki Minaj)
18. Post Malone- Spoil My Night (feat. Swae Lee)
19. Tiësto & Dzeko- Jackie Chan (feat. Premo & Post Malone)
20. Post Malone- Go Flex
21. French Montana- Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)
22. Post Malone- Rich & Sad",en,0.3564925491809845
La T y La M,Como Se Siente,0tQDrJxQcB5zKGrHx43xUj,en,3715,False,"You can take the kid outta the barrio
But u can neva take the barrio from da’ kid
You can take the kid outta the barrio
But u can neva take the barrio from da’ kid
Puedes sacar al escuincle del barrio
Pero ese barrio nunca lo vas a sacar de ahí
Puedes sacar al escuincle del barrio
Pero ese barrio nunca lo vas a sacar de ahí

Muy buenas tardes carnal
¿un viaje largo?
¿cómo se siente
Venir aterrizando?
Se siente como la vida
Voy palpitando
Latente como la vida
Voy regresando
Camino por mercado
Kilates de limones
Peseros atascados
Policletos huevones
Mi city es de cabrones
Tamalito y atoles
Es esquite que resiste
A la franquicia dando roles
Como viejo de tienda
Que abre siempre a tiempo
En el tiempo de mi templo
El atardecer es necio
Doble hache a muerte, no se si se entiende
This shit is true shit! ‘n that shit!, ou shit!
Mi barrio es un lugar que nunca duerme
Aquí el dormido pierde
Por eso chingo siempre
De barrio soy poniente
Mi cora contingente
Mi puño es por la izquierda
Mi aliento es rebelde
Listen 2 dis revele
Listen 2 dis ma’ frene, si, vienes, re-
Representin’ yo!
Estiloambulo
Doy cornyflacas
De desayuno
Y ni tan flacas yo’
Y ni me apuro
‘orita lo que traigo
Son ganitas de arrullo
Y a veces me escabullo
Porque no me convencen
La que manda en mi cora
Ya no quiere ni verme
Y no me tira un hola pero es tema de otra rola..
Hola, hola, hola, hola fabiola!
Soy chilango orgullo
Dese que se mata a gallos
Que’se pelea con los puercos
Que salió pateando barrio
Y la ley nos mata a rachas
Como cucarachas
Yo matando bachas
Chale, ¿cuándo retachas?
Preguntaba mi banda
Ya estoy de regreso
Cuetzo por las calles
Cuetzo está en los versos

You can take the kid outta the barrio
But u can neva take the barrio from da’ kid
You can take the kid outta the barrio
But u can neva take the barrio from da’ kid
Puedes sacar al escuincle del barrio
Pero ese barrio nunca lo vas a sacar de ahí
Puedes sacar al escuincle del barrio
Pero ese barrio nunca lo vas a sacar de ahí


¿cómo le explico cainal
Que así la hicimos?
Desafiando al cerdo
De lunes a domingo
Estilo killer funky
Quentin tarantino
Cada final de barra
Los bombos asesino
Si si si
Andamos tendos y venimos de ahí
Si si si
Somos de noche somos como Davin
Si si si
Buenos muchachos, si la mala es la ci
Ty si si
Aprovheco para saludar al skippie-G
Mira como cae la tónica, whisky con agua, es pentafónica
Checa la competencia, es agua mala, se queda afónica
Se que no basta, que’so no es nada pero en algún lado empieza
Que la corona es solo un adorno aunque esté en mi cabeza
Che, che che re che, he he he, mane
Vine from living in pain wey
Vine y pues playing’ the game, rey
Puro cariño, la Re-bel
Puros cartones de cheve
Pura maría a vapores
Pura bonita mujeres
Puro por la fam que siempre ha estado
Juro por mi sangre siempre a su lado
Nunca por la money, siempre por el honey
Siempre marihuana, Marley como Bobby
Stoner como rollin y smoking in the water
Cholo como el cypress, y solito ni madres
La ruta 15 sube, poniente, olivares
Súbase a la fiesta, lleva lugares
Pude yo salir de aquí
Becado del frenesí
Para encontrar que el barrio viajó conmigo y así
Nunca sólo me sentí
Aún sin mi selva
Vengo de un mapa de guerras
Y por eso nunca me perdí
Destino siempre free, los sin remedio
Aún si viajero always in the place 2 be
Cuz you can take the kid outta the barrio
But you can never take the barrio from the kid

You can take the kid outta the barrio
But u can neva take the barrio from da’ kid
You can take the kid outta the barrio
But u can neva take the barrio from da’ kid
Puedes sacar al escuincle del barrio
Pero ese barrio nunca lo vas a sacar de ahí
Puedes sacar al escuincle del barrio
Pero ese barrio nunca lo vas a sacar de ahí",en,0.4272208511829376
Khalil Fong,特別的人,0VTzUEuHYD8s7CgQ15cDPo,zh,519,True,"愛一個人或許要慷慨
若只想要被愛
最後沒有了對白
必須有你我的情真
不求計分的平等
總有幸福有心疼
生命的起伏要認可

懂一個人也許要忍耐
要經過了意外
才瞭解所謂的愛
今後的歲月
讓我們一起瞭解
多少天長地久
有幾回細水長流

我們是對方特別的人
奮不顧身 難捨難分
不是一般人的認真
若只有一天 愛一個人
讓那時間每一刻在倒退
生命中有萬事的可能
你就是我要遇見的
特別的人

懂一個人也許要忍耐
要經過了意外
才瞭解所謂的愛
今後的歲月
讓我們一起瞭解
多少天長地久
有幾回細水長流

我們是對方特別的人
奮不顧身 難捨難分
不是一般人的認真
若只有一天 愛一個人
讓那時間每一刻在倒退
生命中有萬事的可能
你就是我要遇見的
特別的人

有時候我們都會寂寞
有時也會失敗 怕被淘汰
想去找一個明白
而我曾經多次的等待未來
你何時會來
人山人海總有你的存在
有你我的愛

我們是對方特別的人
奮不顧身 難捨難分
不是一般人的認真
若只有一天 愛一個人
讓那時間每一刻在倒退
生命中有萬事的可能
你就是我要遇見的
特別的人",zh,0.9987468123435974
BellyJay,MONTAGEM HIKARI,0XqgE9UN4MCo5ooIwUYm7l,en,736,False,"Yoru no kaze ga kami o nadete
Machi no hi ga bonyari yureru
Tōku no tokei ga shizuka ni kizamu
Watashi no kokoro mo
Asa no hikari no naka de (Ah)
Asa no hikari no naka de (Ah ah ah)
Hikari, Ah—
Asa no hikari no naka de (Ah ah ah)
Asa no hikari no naka de
Kage ga nobite kiete yuku
Aruku michi wa mada mienai
Mayoi nagara mo koko ni itai
Asa no hikari ni tsutsumarenagara
Yoru no koe ga mimi o kasume
Hoshi no nokoriga ga tadayou
Jikan wa yukkuri nagare
Watashi wa tada sora o miageru
Asa no hikari no naka de (Ah)
Asa no hikari no naka de (Ah ah ah)
Hikari, Ah—
Asa no hikari no naka de (Ah ah ah)
Asa no hikari no naka de (Ah)
Asa no hikari no naka de (Ah ah ah)
Hikari, Ah—
Asa no hikari no naka de (Ah ah ah)
Asa no hikari no naka de",en,0.22952264547348022
Jay Chou,青花瓷,10VuSw48iPN2UK2xX9Y6P0,zh,474,True,"素胚勾勒出青花筆鋒濃轉淡
瓶身描繪的牡丹一如妳初妝
冉冉檀香透過窗心事我了然
宣紙上走筆至此擱一半

釉色渲染仕女圖韻味被私藏
And your beautiful smile is like a bud waiting to bloom
妳的美一縷飄散 去到我去不了的地方

天青色等煙雨 而我在等妳
炊煙裊裊昇起 隔江千萬里
在瓶底書漢隸仿前朝的飄逸
就當我為遇見妳伏筆
天青色等煙雨 而我在等妳
月色被打撈起 暈開了結局
如傳世的青花瓷自顧自美麗 妳眼帶笑意

色白花青的錦鯉躍然於碗底
臨摹宋體落款時卻惦記著妳
妳隱藏在窯燒裡千年的秘密
極細膩猶如繡花針落地

簾外芭蕉惹驟雨門環惹銅綠
而我路過那江南小鎮惹了妳
在潑墨山水畫裡 妳從墨色深處被隱去

天青色等煙雨 而我在等妳
炊煙裊裊昇起 隔江千萬里
在瓶底書漢隸仿前朝的飄逸
就當我為遇見妳伏筆
天青色等煙雨 而我在等妳
月色被打撈起 暈開了結局
如傳世的青花瓷自顧自美麗 妳眼帶笑意
天青色等煙雨 而我在等妳
炊煙裊裊昇起 隔江千萬里
在瓶底書漢隸仿前朝的飄逸
就當我為遇見妳伏筆
天青色等煙雨 而我在等妳
月色被打撈起 暈開了結局
如傳世的青花瓷自顧自美麗 妳眼帶笑意",zh,0.7959813475608826
F.I.R.,月牙灣,1b5IRT3iraxjHOsKZx93sW,zh,454,True,"敦煌天空的沙礫
帶著我們的記憶
我從半路看回去
這情關漫漫好彎曲
夢想穿過了西域
包含了多少的禪意
愛情像一本遊記
我會找尋他的謎語

看 月牙灣下的淚光
在絲路之上被遺忘

是誰的心啊 孤單地留下？
他還好嗎？我多想愛他
拿永恆的淚凝固的一句話
也許可能蒸發
是誰的愛啊 比淚水堅強？
輕聲呼喚就讓我融化
Every drop of rain evolves into my wings
向著我愛的人追吧


夢想穿過了西域
包含了多少的禪意
愛情像一本遊記
我會找尋他的謎語

看 月牙灣下的淚光
在絲路之上被遺忘

是誰的心啊 孤單地留下？
他還好嗎？我多想愛他
拿永恆的淚凝固的一句話
也許可能蒸發
是誰的愛啊 比淚水堅強？
輕聲呼喚就讓我融化
Every drop of rain evolves into my wings
向著我愛的人追吧


是誰的心啊 孤單地留下？
他還好嗎？我多想愛他
拿永恆的淚凝固的一句話
也許可能蒸發
是誰的愛啊 比淚水堅強？
輕聲呼喚就讓我融化
Every drop of rain evolves into my wings
向著我愛的人追吧",zh,0.9992603659629822
EggPlantEgg,浪流連,1IS0WFyiVpwsATeSzjEvpI,zh,223,True,"這個風風雨雨的社會
欲怎樣開花
少年家怎樣落地
咱攏是為著愛情來浪流連
( 敢有人愛我 )
我已經決定欲做一个善良的歹囝
薰莫閣食酒袂閣焦
想妳的彼暗 佇恁兜的亭仔跤
想妳的彼暗 佇恁兜的窗仔外
其實我生活甲無好我家己攏知影
恁攏了解我會掩崁我的軟汫
Ordinary and evil, we will do it to the death
哦 當做講笑詼
哦 攏是白賊話
猶原會記得我少年時所偷偷烏白寫的願望
彼當陣我已經當做這世界我早著已經看破
後世人 袂閣為著你來 浪流連",zh,0.9849998950958252
Bestards,離開的一路上,1NoDTQhJsrd5rnpb6PQthK,zh,465,True,"背影逐漸拉開距離
告別所有與你有關的風景
I work hard
回憶的雨裡忍住淚向前進
愛不再是選擇題 當你已經選擇你
再多深刻的曾經都破碎支離
I only have myself

離開的一路上 我沒忘記
你微笑的臉龐
好像是在告訴著我不應該為誰哭
可能你一個人比較幸福
離開的一路上 反覆想起
燦爛的星空下
對彼此許下過什麼 天真的美麗
今後誰也別提起

清醒在無人的島嶼
明白我和你不過就是一場夢境
別輸不起
揹起了傷心 終究要向前進
愛不再是選擇題 當你已經選擇你
那些愛過的證據都失去蹤影
還有什麼能失去

離開的一路上 我沒忘記
你微笑的臉龐
好像是在告訴著我不應該為誰哭
可能你一個人比較幸福
離開的一路上 反覆想起
燦爛的星空下
對彼此許下過什麼天真的美麗
今後誰也別提起


離開的一路上 我沒忘記
你微笑的臉龐
好像是在告訴著我不應該為誰哭
可能你一個人比較幸福
離開的一路上 反覆想起
燦爛的星空下
對彼此許下過什麼天真的美麗
今後誰也別提起
誰也別提起",zh,0.995952844619751
AiNA THE END,革命道中 - On The Way,1oFqKeepmT5S8BCGqJl7Ar,es,1682,False,"Unaru ze
Chidoro tsuitatte mamoritai
Kakumei douchuu datte kimi ni muchuu
Kurayami shimikomu sekai by mitsuketa
Senchimentaru na koi

Amaku nukarunda manazashi (Dandan, da-da-dan)
Hen ni iroke aru kara komatta (Dandan, da-da-dan)
Te wo tsunagu yuuki dashitakute (Dandadan, dadan)
Mi no hodo wakimaetecha dekinai ne

Kurai tonneru no kabe
Shitatari ochiru himitsu
Shimeyaka ni takanaru kokoro
(Dandadan) Give me give me
(Dandadan) Matte matte
(Dandadan, da-da-da-dandadan)
Noroi mo yamai mo dakishimetai
(Dandadan, da-da-da-dandadan)
Kokora from abarechatte mo ii ka na

Aa, unaru ze
Chidoro tsuitatte mamoritai
Kakumei douchuu datte kimi ni muchuu
Kurayami shimikomu sekai by mitsuketa
Senchimentaru na koi

(Gimme gimme) Ooh
(Matte matte)

Narifuri kamawazu soba ni itai (Dandan, da-da-dan)
Bukiyou na kimi ni mo kitai shichau yo (Dandan, da-da-dan)
Shigamitsukeba kie sou na hi ni (Dandadan, dadan)
Koi no tsumatetete chikazuite mo ii?

My wo makase dakarete
Get on ushinatte mo ii
Shimeyaka ni takanaru kokoro
(Dandadan) Give me give me
(Dandadan) Matte matte
(Dandadan, da-da-da-dandadan)
Noroi mo yamai mo kimi to nara
(Dandadan, da-da-da-dandadan)
Kokora from abarechatte mo ii kana

Aa, nakeru ze
Zekku shichau made hanarenai
Kakumei douchuu datte kimi ni muchuu
Tayutau tabi no hazama by mitsuketa
Senchimentaru na koi

Tsukisusumu nara futari de
Kakumei douchuu datte yume ni necchuu

(Dandadan) Give me give me
(Dandadan) Matte matte
(Dandadan, da-da-da-dandadan)
Noroi mo yamai mo dakishimetai
(Dandadan, da-da-da-dandadan)
Kokora from abarechatte mo ii yo ne

Kowakutatte unaru ze
Chidoro tsuitatte mamoritai
Kakumei douchuu datte kimi ni muchuu
Kurayami shimikomu sekai by mitsuketa
Senchimentaru na koi",pl,0.14763395488262177
Jay Chou,楓,1pALOIA4ytESmhl7Fxjdic,gd,1565,False,"Wūyún zài wǒmen xīnlǐ gē xià yīkuài yīnyǐng
Wǒ  língtīng chénjì yǐ jiǔ de xīnqíng
Qīngxī  tòumíng jiù xiàng měilì de fēngjǐng
Zǒng zài huíyì lǐ cái kàn de qīng
Bèi shāng tòu de xīn néng bù nénggòu jìxù ài wǒ
Wǒ  yònglì qiān qǐ méi wēndù de shuāng shǒu
Guòwǎng  wēnróu yǐjīng bèi shíjiān shàng suǒ
Zhǐ shèng huīsàn bù qù de nánguò

Huǎn  huǎn piāoluò de fēngyè xiàng sīniàn
Wǒ diǎnrán zhú huǒ wēnnuǎn suì mò de qiūtiān
Jíguāng lüèduó tiānbiān
Běifēng lüèguò xiǎng nǐ de róngyán
Wǒ  bǎ ài shāo chéngle luòyè
Què huàn bù huí shóuxī dì nà zhāng liǎn
Huǎn huǎn piāoluò de fēngyè xiàng sīniàn
Wèihé wǎnhuí yào gǎn zài dōngtiān lái zhīqián
Ài nǐ chuānyuè shíjiān
Liǎng háng láizì qiūmò de yǎnlèi
Ràng ài sèntòule demiàn
Wǒ yào de zhǐshì nǐ zài wǒ shēnbiān

Bèi shāng tòu de xīn néng bù nénggòu jìxù ài wǒ
Wǒ yònglì qiān qǐ méi wēndù de shuāng shǒu
Guòwǎng wēnróu yǐjīng bèi shíjiān shàng suǒ
Zhǐ shèng huīsàn bù qù de nánguò
Zài shānyāo jiān piāoyì de hóng yǔ
Suí zhe běifēng diāolíng wǒ qīng qīng yáoyè fēnglíng
Xiǎng huànxǐng bèi yíqì de àiqíng
Xuěhuā yǐ pù mǎnle di
Shēn pà chuāngwài fēngyè yǐ jiéchéng bīng

Huǎn huǎn piāoluò de fēngyè xiàng sīniàn
Wǒ diǎnrán zhú huǒ wēnnuǎn suì mò de qiūtiān
Jíguāng lüèduó tiānbiān
Běifēng lüèguò xiǎng nǐ de róngyán
Wǒ bǎ ài shāo chéngle luòyè
Què huàn bù huí shóuxī dì nà zhāng liǎn
Huǎn huǎn piāoluò de fēngyè xiàng sīniàn
Wèihé wǎnhuí yào gǎn zài dōngtiān lái zhīqián
Ài nǐ chuānyuè shíjiān
Liǎng háng láizì qiūmò de yǎnlèi
Ràng ài sèntòule demiàn
Wǒ yào de zhǐshì nǐ zài wǒ shēnbiān",gd,0.13944126665592194
Yorushika,春泥棒,1rr2DJOxV0sHXeUXCAz1yf,de,1378,True,"Koukakyou wo nuketara kumo no sukima ni ao ga nozoita
Saikin doumo atsui kara tada kaze ga fuku nowo matetta

Kokage ni suwaru
Nani ka hou ni tsuku
Miagereba zujou ni saite chiru

Harari, bokura mou iki mo wasurete
Mabataki sae okkuu
Saa, kyou sae ashita kako ni kawaru
Tada kaze wo matsu
Dakara bokura mou koe mo wasurete
Sayonara sae okkuu
Tada hana ga furu dake hareri
Ima, haru fubuki

Tsugi no hi mo machiawase
Hanami no kyaku mo sukunaku natta
Haru no nioi wa mou yamu
Kotoshi mon natsu ga kuru no ka

Koukakyou where nuketara michi no saki ni kimi ga nozoita
Nokori wa dore dake kana
Dore dake haru ni aeru darou

Kawazoi no ok, kokage ni suwaru
Mata kinou to kawarazu kyou mo saku hana ni

Bokura mou iki mo wasurete
Mabataki sae okkuu
Hana chirase ima fuku kono arashi wa
Masani haru dorobou
Kaze ni kyou mo mou toki ga nagarete
Tatsu koto sae okkuu
Hana no sukima ni sora, chireri
Mada, haru fubuki

Kyou mo ai ni iku
Kokage ni suwaru
Tameiki wo tsuku
Hana mo mou owaru
Asu no ai ni iku
Haru ga mou owaru
Nagoru you ni jikan ga chitteiku

Ai wo utaeba kotobatarazu
Fumu in sae okkuu
Hanahiraita ima wo kotobagotoki ga katareru mono ka
Harari, bokura mou koe mo wasurete
Mabataki sae okkuu
Hanami wa bokura dake
Chiruna mada, haru fubuki

Ato mou sukoshi dakе
Mou kazoerareru dake
Ato hana futatsu dake
Mou hana hitotsu dake
Tada ha ga nokoru dake, harari
Ima, haru jinmai",de,0.16466037929058075
Eric Chou,想念你想我,1sl9O7VLwGwdw4iXqnkbDP,zh,431,True,"城市閃動 如風環抱雨的溫柔
愛笑的你 總是先把快樂給我
時間幽默 不怪誰 破壞承諾
是相遇 太早 才錯過
擱淺日落 曬紅的臉言不由衷
頑固的我 總會想到很遠以後
任性地走 像星體公轉一周
我轉身 你不在身後

失去你 好不真實
傷害了愛 卻還 奢望 重新開始
有一種揮霍 遲來 懂誰愛我
你不在 原來生命 就是漂泊
想念你 如此真實
相信的人 堅持 分開 誰能解釋
I'm not afraid of your happiness, I'm afraid that you will forget me
心會痛 是最好的 不再擁有
miss you miss me
(Miss you, miss me)

走你走過 等不期而遇在街頭
彷彿昨天 永遠的我們沒盡頭
笨的是我 你早刻進我脈搏
不願你 消失 像彩虹

失去你 好不真實
傷害了愛 卻還 奢望 重新開始
有一種揮霍 遲來 懂誰愛我
失去你 原來生命 就是漂泊
我的愛 必須誠實
People who believe that you deserve the most beautiful things
I'm not afraid of your happiness, I'm afraid that you will forget me
心會痛 是最好的 不再擁有
miss you miss me
(Miss you, miss me)",zh,0.995211124420166
Bruno Mars,God Was Showing Off,1sVBT215CDmVJvfy1E2OCU,en,2101,True,"Uno, dos, tres, y otra vez
Hey, oh, ooh

Is it your eyes that light my sky?
I bet in the pourin' rain, you still shine
Is Heaven your name? (Is Heaven your name?)
Or is it Divine? (Or is it Divine?)
Don't matter, girl, it's gonna look good next to mine

Oh, you little earth angel (Ooh)
The way you're put together, only God can do (Only God can do)
Yeah, I know it, I know it, I know it, I know (Ah)

(God was showin' off)
While makin' you, ooh
(God was showin' off)
(Makin' you, girl)

Ooh, honey, you are a miracle to me
No, you ain't gotta hide your wings
Set them free, set 'em free, yeah
Your hair, your face, your skin, your lips
I ain't never seen beauty likе this
I was blind, but now I see

Ooh, you little earth angel (Ooh)
Thе way you're put together, only God can do (Only God can do)
Yeah, I know it, I know it, I know it, I know (Ah)

(God was showin' off)
While makin' you, oh, yeah
(God was showin' off)
Showin' off (Makin' you, girl)
God was showin' off while makin' you
Makin' you, yeah
(God was showin' off)
Showin' off (Makin' you, girl)
Ooh, ooh

You know, whoever said God don't have favorites
Never seen you before
Now everybody got somethin' special but it's obvious you been blessed
With just a little more
Help me sing

(Hallelujah, hallelujah) Hallelujah
(Hallelujah, hallelujah) Hallelujah
(Hallelujah, hallelujah) Ooh, you make me wanna sing
(Hallelujah)

Oh, you little earth angel (Ooh)
The way you're put together, only God can do (Only God can do)
I know it, babe, know it, babe, know it, girl

(God was showin' off)
While makin' you, woo
(God was showin' off)
Oh, makin' you, girl
I'm talkin' flexin' up in Heaven
Flexin' up in Heaven, ooh-oh
(God was showin' off)
Showin' off (Makin' you, girl)
Come on, rock with me, baby

(Rock, rock) Hey
(Rock, rock) I bet you can walk on water, can't you, girl?
(Rock, rock) And then you can turn that water into wine
(Rock, rock) 'Cause you've been touched by the light
(Rock, rock) The light
(Rock, rock) Yeah
(Rock, rock) Yeah
(Rock, rock)
(Rock, rock)",en,0.5462620258331299
Eason Chan,十年,25pWemriUQVrZ3yIiS2IBf,zh,368,True,"如果那兩個字沒有顫抖 我不會發現我難受
怎麼說出口 也不過是分手
如果對於明天沒有要求 牽牽手就像旅遊
成千上萬個門口 總有一個人要先走

懷抱既然不能逗留 何不在離開的時候
一邊享受 一邊淚流

十年之前 我不認識你
你不屬於我 我們還是一樣
陪在一個陌生人左右 走過漸漸熟悉的街頭
十年之後 我們是朋友
還可以問候 只是那種溫柔
再也找不到擁抱的理由 情人最後難免淪為朋友

懷抱既然不能逗留 何不在離開的時候
一邊享受 一邊淚流

十年之前 我不認識你
你不屬於我 我們還是一樣
陪在一個陌生人左右 走過漸漸熟悉的街頭
十年之後 我們是朋友
還可以問候 只是那種溫柔
再也找不到擁抱的理由 情人最後難免淪為朋友

直到和你做了多年朋友 才明白我的眼淚
不是為你而流 也為別人而流",zh,0.9991564750671387
CHANMINA,ハレンチ,2BfzhBl79bcPOHHXAXJkTY,en,1230,False,"Otosata nai kara kaetta no
Kimi shika inai toka itte yo
Furatsukitai kara aishita no
Tarirarirattattarara

Ai ni oboe ga aru kara
Hana wo kaita no
Otonabite shimatta watashi wa
Ki no iro de asondeita no

Acchi mo kocchi mo karada wo makasete mitemo
Nandemo nandemo nandemo nandemo nai no
Sawagashii sawagashii sawagashii kono ukigokoro ni
Dare ga kidzuku to iu no

Dou demo ii kara naita no
Midare gokoro mo daite yo
Kawari ni nanka yokoshite yo
Tarirarirattattarara

Yeah, yeah, yeah, yeah, wasureta
Nan no kankaku mo nai~yai~yai
Yeah, yeah, yeah, yeah, wasureta
Anata wo ushinatta kara

Go ahead and take me out
Itai wa Tokyo sound
Tokai wa daikirai
Okorippokute tsumetai
Isogashikute airashii
Kesshoku no nai watashi wa high
Darekare iru no ni
Daremo inai wa

Doko ni doko ni doko ni aru no kashira
Kansha mo ai mo komerare ya shinai
Nando mo nando mo nando mo ki ni shiteru wa
Akui ni naita hi kara

Kaze ga tsuyoi yoru ga akete
Kimi no nioi ga kiete
Hitori ni nattara dou shiyou
Tarirarirattattarara

Otosata nai kara naita no
Kimi shika inai kara kaetta no
Aisaretai kara aishita no
Tarirarirattattarara

Yeah, yeah, yeah, yeah, wasureta
Nan no kankaku mo nai~yai~yai
Yeah, yeah, yeah, yeah, wasureta
Anata wo ushinatta kara",en,0.1694839596748352
Sam Lee,手放開,2Dd9EXYXI2NNrLG61OtWQv,zh,261,True,"妳 曾確令我思念
未必是錯 卻欠了解
愛 時間是個考驗
或許是對 沒法說應該

始終要離開
始終有障礙 可不可掩蓋

請將手放開 不要回來
不想更改 遙遠的將來

妳 離去又再出現
亦想熱愛 卻滿載悲哀

始終要離開
始終有障礙 可不可掩蓋

請將手放開 不要回來
不想更改 遙遠的將來
請將手放開 不要回來
不想更改 遙遠的將來 我獨自喝采


請將手放開 不要回來
不想更改 遙遠的將來
請將手放開 不要回來
不想更改 遙遠的將來 我獨自喝采
Woah-oh-oh",zh,0.9994509816169739
Rihanna,Only Girl (In The World),2ENexcMEMsYk0rVJigVD3i,en,1978,False,"La-la-la-la
La-la-la-la
La-la-la-la (Uh, yeah)
La-la-la-la

I want you to love me
Like I'm a hot ride (Uh, yeah)
Be thinking of me (Uh)
Doing what you like (Haha)
So, boy, forget about the world
'Cause it's gon' be me and you tonight (Yeah)
I wanna make you beg for it
Then I'ma make you swallow your pride, oh (Uh, uh)

Want you to make me feel
Like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
How to make you feel like a man, yeah
Want you to make me feel
Like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only one

Want you to take it (Uh)
Like a thief in the night (Uh)
Hold me like a pillow
Make me feel right (Uh)
Baby, I'll tell you all my secrets that I'm keeping
You can come inside (Yeah)
And when you enter, you ain't leaving
Be my prisoner for the night, oh

Want you to make me feel
Like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
Like I'm the only one who knows your heart
Only one

Take me for a ride, ride
Oh, baby, take me high, high
Let me make you rise, rise
Oh, make it last all night, night
Take me for a ride, ride
Oh, baby, take me high, high
Let me make you rise, rise
Make it last all night

Want you to make me feel
Like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
How to make you feel like a man

Only girl in the world
Girl in the world
Only girl in the world
Girl in the world",en,0.6921067237854004
